topic,subTopic,slug,beeswarmRowUseMinMax,howToMeasureChange,dataset,code,include
health and wellbeing,disease and preventable mortality,cardiovascular-mortality-persons-aged-under-75-ni,FALSE,,preventable-cardiovascular-mortality-ni,Preventable circulatory mortality (Northern Ireland),TRUE
health and wellbeing,disease and preventable mortality,mortality-rate-coronary-heart-disease-scotland,FALSE,,mortality-rate-from-coronary-heart-disease-scotland,Mortality rate from coronary heart disease (Scotland),TRUE
health and wellbeing,life expectancy,healthy-life-expectancy-female,FALSE,abs,healthy-life-expectancy,Female healthy life expectancy,TRUE
health and wellbeing,life expectancy,healthy-life-expectancy-male,FALSE,abs,healthy-life-expectancy,Male healthy life expectancy,TRUE
health and wellbeing,self-reported wellbeing,wellbeing-anxiety,FALSE,,personal-wellbeing-estimates,Anxiety,TRUE
health and wellbeing,self-reported wellbeing,wellbeing-worthwhile,FALSE,,personal-wellbeing-estimates,Worthwhile,TRUE
health and wellbeing,self-reported wellbeing,wellbeing-happiness,FALSE,,personal-wellbeing-estimates,Happiness,TRUE
health and wellbeing,self-reported wellbeing,wellbeing-satisfaction,FALSE,,personal-wellbeing-estimates,Satisfaction,TRUE
environment,environment,domestic-electricity-consumption,FALSE,,domestic-electricity-consumption,Electricity consumption,TRUE
environment,environment,domestic-gas-consumption,FALSE,,domestic-gas-consumption,Gas consumption,TRUE
environment,environment,greenhouse-gas-emissions,FALSE,,greenhouse-gas-emissions,Greenhouse gas emissions,TRUE
connectivity,digital connectivity,gigabit-capable-broadband,FALSE,pp,gigabit-capable-broadband,Gigabit capable broadband,TRUE
connectivity,digital connectivity,4g-coverage,TRUE,pp,network-coverage-4g,4G coverage,TRUE
connectivity,digital connectivity,5g-coverage,FALSE,,network-coverage-5g,5G coverage,TRUE
connectivity,digital connectivity,premises-below-30mbps,FALSE,,premises-below-30,Premises below 30Mbps,TRUE
connectivity,travel and transport,electric-vehicle-public-charging-devices,FALSE,,electric-vehicle-public-charging-devices,Electric vehicle public charging devices,TRUE
connectivity,travel and transport,average-travel-time-cycling,FALSE,,average-travel-time,Cycle to work,TRUE
connectivity,travel and transport,average-travel-time-driving,FALSE,,average-travel-time,Drive to work,TRUE
connectivity,travel and transport,average-travel-time-public-transport-or-walking,FALSE,,average-travel-time,Public transport or walk to work,TRUE
connectivity,access to amenities,supermarkets,FALSE,,supermarkets,Supermarkets,TRUE
connectivity,access to amenities,sports-facilities,FALSE,,sports-facilities,Sports facilities,TRUE
connectivity,access to amenities,museums,FALSE,,museums,museums,TRUE
connectivity,access to amenities,walk-library,FALSE,,library-walk,Residents within a 30 minute walk of their nearest library,TRUE
connectivity,access to amenities,walk-railway-station,FALSE,,railway-station-walk,Residents within a 30 minute walk of their nearest railway station,TRUE
connectivity,culture and heritage,engaged-with-arts,FALSE,,engagement-with-culture-and-heritage,Engaged with the arts,TRUE
connectivity,culture and heritage,visited-heritage-site,FALSE,,engagement-with-culture-and-heritage,Visited a heritage site,TRUE
connectivity,culture and heritage,visited-museum-or-gallery,FALSE,,engagement-with-culture-and-heritage,Visited a museum or gallery,TRUE
connectivity,culture and heritage,visited-public-library,FALSE,,engagement-with-culture-and-heritage,Visited a public library,TRUE
crime,crime,homicide-offences,FALSE,abs,homicide-offences,Homicide Offences,TRUE
